[ReparadorMateriales] Inicio DRY-RUN - 2025-09-14 10:07:06
Carpeta sectores: C:\Users\jose.cespedes\Documents\GitHub\dotnet-juego-rpg\MiJuegoRPG\DatosJuego\mapa\SectoresMapa
- 10_21 (10_21.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_22 (10_22.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_23 (10_23.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_24 (10_24.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_25 (10_25.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_26 (10_26.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_27 (10_27.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_28 (10_28.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_29 (10_29.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_3 (10_3.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 10_30 (10_30.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_31 (10_31.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_32 (10_32.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_33 (10_33.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_34 (10_34.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_35 (10_35.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_36 (10_36.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_37 (10_37.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_38 (10_38.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_39 (10_39.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_4 (10_4.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_40 (10_40.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_41 (10_41.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_42 (10_42.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_43 (10_43.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_44 (10_44.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_45 (10_45.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_46 (10_46.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_47 (10_47.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_48 (10_48.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_49 (10_49.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_5 (10_5.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_50 (10_50.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
- 10_51 (10_51.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 10_52 (10_52.json): nodos afectados=4, materiales eliminados=4, listas normalizadas=0
- 10_53 (10_53.json): nodos afectados=3, materiales eliminados=3, listas normalizadas=0
- 10_54 (10_54.json): nodos afectados=2, materiales eliminados=2, listas normalizadas=0
- 10_6 (10_6.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_7 (10_7.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_8 (10_8.json): nodos afectados=2, materiales eliminados=5, listas normalizadas=0
- 10_9 (10_9.json): nodos afectados=3, materiales eliminados=6, listas normalizadas=0
